Data;Tipo;Transação;Valor
02/06/2026;Entrada;PIX RECEBIDO HOSPITAL SAO LUCAS 12.345.678/0001-99;15.000,00
03/06/2026;Saída;TARIFA PACOTE SERVICOS JUNHO;29,90
05/06/2026;Entrada;PIX RECEBIDO CLINICA VIDA SAUDAVEL 98.765.432/0001-10;8.500,00
06/06/2026;Entrada;TED RECEBIDA OPERADORA UNIMED 11.222.333/0001-44;22.750,00
09/06/2026;Saída;IOF OPERACOES FINANCEIRAS;12,50
10/06/2026;Entrada;PIX RECEBIDO HOSPITAL NOSSA SRA APARECIDA 55.666.777/0001-88;31.200,00
12/06/2026;Saída;DARF CSLL COMPETENCIA MAIO/2026;1.890,00
13/06/2026;Entrada;PIX RECEBIDO CLINICA DR ROBERTO ALVES 44.555.666/0001-22;5.400,00
16/06/2026;Saída;DARF ISS COMPETENCIA MAIO/2026;756,00
17/06/2026;Entrada;TED RECEBIDA HOSPITAL SANTA CASA 77.888.999/0001-11;18.900,00
19/06/2026;Saída;TARIFA TED EMITIDA;8,50
20/06/2026;Entrada;PIX RECEBIDO LABORATORIO ANALISES CLINICAS 33.444.555/0001-66;4.200,00
23/06/2026;Saída;PAGAMENTO BOLETO FORNECEDOR;350,00
25/06/2026;Entrada;PIX RECEBIDO HOSPITAL SAO LUCAS 12.345.678/0001-99;9.600,00
27/06/2026;Saída;DARF COFINS COMPETENCIA MAIO/2026;412,00
30/06/2026;Entrada;TED RECEBIDA OPERADORA AMIL 22.333.444/0001-55;14.750,00
